transaction_ref,sale_date,dealer_code,partner_code,product_type,product_code,imei,total_amount_ngn,payment_method,consumer_msisdn,source_system
DMS_FBB_D00001_202410_0021,2024-10-07T07:28:34+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,ROUTER_HOME,487401640052427,90000,MOMO,+2348084045292,DEALER_MGMT_X
DMS_FBB_D00001_202410_0022,2024-10-03T07:58:53+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348030005727,DEALER_MGMT_X
DMS_FBB_D00001_202410_0023,2024-10-19T01:23:13+00:00,FBB_D00001,PARTNER_A,AIRTIME,TOPUP_1000,,1000,MOMO,+2348029876811,DEALER_MGMT_X
DMS_FBB_D00001_202410_0024,2024-10-12T07:18:02+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348015354599,DEALER_MGMT_X
DMS_FBB_D00001_202410_0025,2024-10-21T16:11:53+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,ROUTER_HOME,586923226025634,45000,MOMO,+2348031367172,DEALER_MGMT_X
DMS_FBB_D00001_202410_0026,2024-10-27T14:47:35+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,337543303654145,25000,MOMO,+2348096098221,DEALER_MGMT_X
DMS_FBB_D00001_202410_0027,2024-10-11T06:22:31+00:00,FBB_D00001,PARTNER_A,AIRTIME,TOPUP_1000,,1000,CARD,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0028,2024-10-06T12:51:15+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,401965569816934,25000,MOMO,+2348015957459,DEALER_MGMT_X
DMS_FBB_D00001_202410_0029,2024-10-22T07:01:17+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,8500,CARD,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0030,2024-10-30T09:57:44+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,595148465648236,65000,MOMO,+2348099245317,DEALER_MGMT_X
DMS_FBB_D00001_202410_0031,2024-10-20T01:56:34+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,17000,MOMO,+2348050392808,DEALER_MGMT_X
DMS_FBB_D00001_202410_0032,2024-10-10T10:04:58+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348038210242,DEALER_MGMT_X
DMS_FBB_D00001_202410_0033,2024-10-21T07:06:02+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,17000,CARD,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0034,2024-10-16T20:18:47+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348032775593,DEALER_MGMT_X
DMS_FBB_D00002_202410_0000,2024-10-11T09:22:47+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,343320037917693,25000,CARD,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0001,2024-10-05T13:47:34+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348010744212,DEALER_MGMT_X
DMS_FBB_D00002_202410_0002,2024-10-06T10:51:34+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,870831727889579,50000,MOMO,+2348077750178,DEALER_MGMT_X
DMS_FBB_D00002_202410_0003,2024-10-14T19:45:34+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,25500,CARD,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0004,2024-10-14T22:51:06+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,348734714345581,130000,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0005,2024-10-22T12:17:54+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,316658760366909,65000,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0006,2024-10-10T06:10:03+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348062343121,DEALER_MGMT_X
DMS_FBB_D00002_202410_0007,2024-10-25T19:06:06+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,CARD,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0008,2024-10-14T12:15:42+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,065627298069901,65000,MOMO,+2348096268397,DEALER_MGMT_X
DMS_FBB_D00002_202410_0009,2024-10-06T15:12:22+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0010,2024-10-15T02:17:46+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,ROUTER_HOME,564641708053100,45000,MOMO,+2348043189803,DEALER_MGMT_X
DMS_FBB_D00002_202410_0011,2024-10-05T17:22:20+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,271937452991241,195000,CARD,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0012,2024-10-18T20:23:33+00:00,FBB_D00002,PARTNER_A,AIRTIME,TOPUP_1000,,1000,MOMO,+2348060372847,DEALER_MGMT_X
DMS_FBB_D00002_202410_0013,2024-10-03T08:32:28+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,25500,MOMO,+2348094187049,DEALER_MGMT_X
DMS_FBB_D00002_202410_0014,2024-10-27T08:37:04+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,919058651850671,65000,MOMO,+2348068186525,DEALER_MGMT_X
DMS_FBB_D00002_202410_0015,2024-10-22T22:14:14+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,ROUTER_HOME,628498776945314,90000,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0016,2024-10-18T15:58:04+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0017,2024-10-27T09:06:31+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0018,2024-10-25T17:35:13+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,549480831367837,65000,MOMO,+2348096691619,DEALER_MGMT_X
DMS_FBB_D00002_202410_0019,2024-10-03T21:13:54+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348039742165,DEALER_MGMT_X
DMS_FBB_D00002_202410_0020,2024-10-21T13:59:09+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,17000,MOMO,+2348059529086,DEALER_MGMT_X
DMS_FBB_D00002_202410_0021,2024-10-14T04:34:28+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348083871890,DEALER_MGMT_X
DMS_FBB_D00002_202410_0022,2024-10-09T09:33:42+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,ROUTER_HOME,431351823374989,45000,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0023,2024-10-10T04:24:26+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,ROUTER_HOME,524082400842710,135000,MOMO,+2348087049595,DEALER_MGMT_X
DMS_FBB_D00002_202410_0024,2024-10-11T13:29:06+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,ROUTER_HOME,047116719022941,45000,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0025,2024-10-19T19:06:00+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,938677496499091,65000,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0026,2024-10-21T11:21:30+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,232812067974034,130000,MOMO,+2348047945817,DEALER_MGMT_X
DMS_FBB_D00002_202410_0027,2024-10-29T15:23:22+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348093893865,DEALER_MGMT_X
DMS_FBB_D00002_202410_0028,2024-10-14T04:18:11+00:00,FBB_D00002,PARTNER_A,AIRTIME,TOPUP_1000,,2000,MOMO,+2348083089925,DEALER_MGMT_X
DMS_FBB_D00002_202410_0029,2024-10-26T15:00:48+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,102499471746488,130000,MOMO,+2348076276072,DEALER_MGMT_X
DMS_FBB_D00002_202410_0030,2024-10-28T13:43:49+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348053261270,DEALER_MGMT_X
DMS_FBB_D00002_202410_0031,2024-10-08T02:19:10+00:00,FBB_D00002,PARTNER_A,AIRTIME,TOPUP_1000,,1000,MOMO,+2348087201917,DEALER_MGMT_X
DMS_FBB_D00002_202410_0032,2024-10-18T20:43:39+00:00,FBB_D00002,PARTNER_A,AIRTIME,TOPUP_1000,,3000,MOMO,+2348033513701,DEALER_MGMT_X
DMS_FBB_D00002_202410_0033,2024-10-29T09:33:28+00:00,FBB_D00002,PARTNER_A,BUNDLE,DATA_50GB,,8500,CASH,,DEALER_MGMT_X
DMS_FBB_D00002_202410_0034,2024-10-20T16:16:46+00:00,FBB_D00002,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,717565512567468,195000,CASH,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0000,2024-10-11T00:30:56+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,8500,MOMO,+2348064247457,DEALER_MGMT_X
DMS_FBB_D00003_202410_0001,2024-10-21T09:17:56+00:00,FBB_D00003,PARTNER_B,AIRTIME,TOPUP_1000,,3000,MOMO,+2348082825679,DEALER_MGMT_X
DMS_FBB_D00003_202410_0002,2024-10-17T01:43:07+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,8500,MOMO,+2348093568503,DEALER_MGMT_X
DMS_FBB_D00003_202410_0003,2024-10-07T07:26:50+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,17000,MOMO,+2348083715012,DEALER_MGMT_X
DMS_FBB_D00003_202410_0004,2024-10-28T07:20:58+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_5G_PRO,710932480861317,195000,CASH,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0005,2024-10-16T10:47:28+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,484677378263982,50000,MOMO,+2348019369750,DEALER_MGMT_X
DMS_FBB_D00003_202410_0006,2024-10-11T12:52:01+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,ROUTER_HOME,840449972787558,90000,CASH,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0007,2024-10-27T22:59:00+00:00,FBB_D00003,PARTNER_B,AIRTIME,TOPUP_1000,,1000,MOMO,+2348042051937,DEALER_MGMT_X
DMS_FBB_D00003_202410_0008,2024-10-02T08:28:24+00:00,FBB_D00003,PARTNER_B,AIRTIME,TOPUP_1000,,1000,CASH,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0009,2024-10-12T23:14:32+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,17000,CASH,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0010,2024-10-04T21:55:37+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_5G_PRO,951718702621745,65000,MOMO,+2348093652460,DEALER_MGMT_X
DMS_FBB_D00003_202410_0011,2024-10-27T10:08:30+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,17000,MOMO,+2348081621574,DEALER_MGMT_X
DMS_FBB_D00003_202410_0012,2024-10-28T01:03:09+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,25500,CASH,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0013,2024-10-20T13:35:01+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,431611724005045,50000,MOMO,+2348060310319,DEALER_MGMT_X
DMS_FBB_D00003_202410_0014,2024-10-13T18:33:58+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,8500,CARD,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0015,2024-10-19T21:27:42+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_5G_PRO,693792374740748,65000,MOMO,+2348031203129,DEALER_MGMT_X
DMS_FBB_D00003_202410_0016,2024-10-31T14:48:45+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,464743671369594,25000,MOMO,+2348049625201,DEALER_MGMT_X
DMS_FBB_D00003_202410_0017,2024-10-09T12:12:47+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,909743953394210,75000,CASH,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0018,2024-10-18T23:12:09+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,ROUTER_HOME,214562328588424,90000,MOMO,+2348074672520,DEALER_MGMT_X
DMS_FBB_D00003_202410_0019,2024-10-25T22:20:55+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,ROUTER_HOME,712368516048175,90000,MOMO,+2348045186708,DEALER_MGMT_X
DMS_FBB_D00003_202410_0020,2024-10-04T08:36:34+00:00,FBB_D00003,PARTNER_B,AIRTIME,TOPUP_1000,,1000,MOMO,+2348041383044,DEALER_MGMT_X
DMS_FBB_D00003_202410_0021,2024-10-11T04:02:11+00:00,FBB_D00003,PARTNER_B,BUNDLE,DATA_50GB,,8500,CARD,,DEALER_MGMT_X
DMS_FBB_D00003_202410_0022,2024-10-20T16:44:25+00:00,FBB_D00003,PARTNER_B,AIRTIME,TOPUP_1000,,1000,MOMO,+2348072312933,DEALER_MGMT_X
DMS_FBB_D00003_202410_0023,2024-10-05T07:59:38+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,ROUTER_HOME,047113826758692,90000,MOMO,+2348065684858,DEALER_MGMT_X
DMS_FBB_D00003_202410_0024,2024-10-13T15:38:17+00:00,FBB_D00003,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,405377351585064,75000,CARD,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0000,2024-10-03T20:12:18+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,390053293183933,75000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0001,2024-10-01T02:06:34+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,ROUTER_HOME,228421020539502,90000,CARD,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0002,2024-10-17T07:24:26+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,ROUTER_HOME,177589178390847,45000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0003,2024-10-27T06:23:23+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,617711592124998,25000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0004,2024-10-17T10:44:02+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,ROUTER_HOME,789611836736576,45000,CARD,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0005,2024-10-14T05:30:44+00:00,FBB_D00004,PARTNER_B,BUNDLE,DATA_50GB,,17000,MOMO,+2348099269266,DEALER_MGMT_X
DMS_FBB_D00004_202410_0006,2024-10-22T06:59:40+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,ROUTER_HOME,711116152809885,45000,MOMO,+2348099927658,DEALER_MGMT_X
DMS_FBB_D00004_202410_0007,2024-10-27T21:51:37+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,049451983273158,25000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0008,2024-10-18T19:07:48+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,ROUTER_HOME,689980940244550,45000,MOMO,+2348034347841,DEALER_MGMT_X
DMS_FBB_D00004_202410_0009,2024-10-03T03:46:17+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_5G_PRO,018366752545991,65000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0010,2024-10-02T13:01:23+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,147679764381561,25000,CARD,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0011,2024-10-16T02:03:16+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,ROUTER_HOME,403690034324451,90000,CARD,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0012,2024-10-06T10:43:00+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,683885160607159,25000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0013,2024-10-09T23:23:57+00:00,FBB_D00004,PARTNER_B,BUNDLE,DATA_50GB,,8500,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0014,2024-10-06T07:52:24+00:00,FBB_D00004,PARTNER_B,BUNDLE,DATA_50GB,,8500,MOMO,+2348092963368,DEALER_MGMT_X
DMS_FBB_D00004_202410_0015,2024-10-03T17:34:06+00:00,FBB_D00004,PARTNER_B,BUNDLE,DATA_50GB,,25500,MOMO,+2348024208709,DEALER_MGMT_X
DMS_FBB_D00004_202410_0016,2024-10-17T05:49:40+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_5G_PRO,645352181883552,65000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0017,2024-10-07T02:46:12+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_5G_PRO,921277997995527,65000,MOMO,+2348019165226,DEALER_MGMT_X
DMS_FBB_D00004_202410_0018,2024-10-25T16:28:08+00:00,FBB_D00004,PARTNER_B,BUNDLE,DATA_50GB,,8500,MOMO,+2348089379016,DEALER_MGMT_X
DMS_FBB_D00004_202410_0019,2024-10-10T14:56:36+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,700541199867980,25000,MOMO,+2348070362235,DEALER_MGMT_X
DMS_FBB_D00004_202410_0020,2024-10-19T18:07:27+00:00,FBB_D00004,PARTNER_B,AIRTIME,TOPUP_1000,,2000,MOMO,+2348077292380,DEALER_MGMT_X
DMS_FBB_D00004_202410_0021,2024-10-04T05:00:19+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_5G_PRO,518203778892554,195000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0022,2024-10-22T01:05:58+00:00,FBB_D00004,PARTNER_B,BUNDLE,DATA_50GB,,8500,MOMO,+2348017028380,DEALER_MGMT_X
DMS_FBB_D00004_202410_0023,2024-10-18T07:07:28+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,ROUTER_HOME,644925192546291,45000,MOMO,+2348051551377,DEALER_MGMT_X
DMS_FBB_D00004_202410_0024,2024-10-26T05:00:33+00:00,FBB_D00004,PARTNER_B,AIRTIME,TOPUP_1000,,1000,MOMO,+2348099941500,DEALER_MGMT_X
DMS_FBB_D00004_202410_0025,2024-10-16T18:18:55+00:00,FBB_D00004,PARTNER_B,AIRTIME,TOPUP_1000,,1000,CASH,,DEALER_MGMT_X
DMS_FBB_D00004_202410_0026,2024-10-30T11:40:10+00:00,FBB_D00004,PARTNER_B,FBB_DEVICE,MIFI_4G_BASIC,573322141888059,25000,MOMO,+2348027589104,DEALER_MGMT_X
DMS_FBB_D00004_202410_0027,2024-10-06T14:32:57+00:00,FBB_D00004,PARTNER_B,AIRTIME,TOPUP_1000,,1000,MOMO,+2348093851247,DEALER_MGMT_X
DMS_FBB_D00005_202410_0000,2024-10-21T23:12:49+00:00,FBB_D00005,PARTNER_C,BUNDLE,DATA_50GB,,8500,MOMO,+2348041880763,DEALER_MGMT_X
DMS_FBB_D00005_202410_0001,2024-10-08T06:05:53+00:00,FBB_D00005,PARTNER_C,BUNDLE,DATA_50GB,,17000,CASH,,DEALER_MGMT_X
DMS_FBB_D00005_202410_0002,2024-10-29T00:33:23+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,MIFI_5G_PRO,359774688623924,65000,CASH,,DEALER_MGMT_X
DMS_FBB_D00005_202410_0003,2024-10-18T04:34:41+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,MIFI_4G_BASIC,181412478261375,50000,MOMO,+2348013579612,DEALER_MGMT_X
DMS_FBB_D00005_202410_0004,2024-10-12T14:13:38+00:00,FBB_D00005,PARTNER_C,BUNDLE,DATA_50GB,,8500,CARD,,DEALER_MGMT_X
DMS_FBB_D00005_202410_0005,2024-10-07T23:03:24+00:00,FBB_D00005,PARTNER_C,BUNDLE,DATA_50GB,,25500,MOMO,+2348052773159,DEALER_MGMT_X
DMS_FBB_D00005_202410_0006,2024-10-25T12:47:13+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,MIFI_4G_BASIC,204727790104328,75000,MOMO,+2348091722503,DEALER_MGMT_X
DMS_FBB_D00005_202410_0007,2024-10-08T08:48:15+00:00,FBB_D00005,PARTNER_C,AIRTIME,TOPUP_1000,,1000,MOMO,+2348026354208,DEALER_MGMT_X
DMS_FBB_D00005_202410_0008,2024-10-15T04:05:32+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,MIFI_4G_BASIC,179808932460953,25000,CARD,,DEALER_MGMT_X
DMS_FBB_D00005_202410_0009,2024-10-17T05:28:20+00:00,FBB_D00005,PARTNER_C,AIRTIME,TOPUP_1000,,1000,MOMO,+2348058399417,DEALER_MGMT_X
DMS_FBB_D00005_202410_0010,2024-10-16T17:27:05+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,MIFI_4G_BASIC,880670654051531,75000,CARD,,DEALER_MGMT_X
DMS_FBB_D00005_202410_0011,2024-10-05T03:15:24+00:00,FBB_D00005,PARTNER_C,AIRTIME,TOPUP_1000,,2000,MOMO,+2348057284777,DEALER_MGMT_X
DMS_FBB_D00005_202410_0012,2024-10-26T17:48:18+00:00,FBB_D00005,PARTNER_C,AIRTIME,TOPUP_1000,,1000,MOMO,+2348072360629,DEALER_MGMT_X
DMS_FBB_D00005_202410_0013,2024-10-02T22:56:48+00:00,FBB_D00005,PARTNER_C,BUNDLE,DATA_50GB,,17000,MOMO,+2348071428713,DEALER_MGMT_X
DMS_FBB_D00005_202410_0014,2024-10-25T12:35:06+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,MIFI_4G_BASIC,054868740345054,25000,MOMO,+2348026706752,DEALER_MGMT_X
DMS_FBB_D00005_202410_0015,2024-10-24T01:01:14+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,ROUTER_HOME,652775841616928,45000,CASH,,DEALER_MGMT_X
DMS_FBB_D00005_202410_0016,2024-10-11T03:58:20+00:00,FBB_D00005,PARTNER_C,FBB_DEVICE,ROUTER_HOME,447962757059640,45000,MOMO,+2348020071854,DEALER_MGMT_X
DMS_FBB_D00005_202410_0017,2024-10-30T12:52:30+00:00,FBB_D00005,PARTNER_C,BUNDLE,DATA_50GB,,8500,MOMO,+2348029163535,DEALER_MGMT_X
